text,label
"NASA successfully launches new satellite into orbit around Earth",science
"Scientists discover water ice beneath the surface of Mars",science
"James Webb telescope captures stunning images of distant galaxies",science
"New study finds coffee reduces risk of heart disease significantly",health
"Researchers develop new vaccine candidate for malaria treatment",health
"FDA approves breakthrough drug for treatment resistant depression",health
"Apple reports record quarterly revenue driven by iPhone sales",finance
"Federal Reserve raises interest rates to combat rising inflation",finance
"Stock markets rally after positive jobs report released Friday",finance
"Python 3.13 released with major performance improvements and JIT",technology
"Open source AI model beats GPT-4 on several benchmark tests",technology
"New battery technology doubles electric vehicle range cost",technology
"Manchester United wins Premier League title in dramatic fashion",sports
"India wins cricket world cup after thrilling final match victory",sports
"Marathon runner breaks world record finishing under two hours",sports
"Government announces new policy for renewable energy transition",politics
"Parliament passes landmark data privacy bill after months debate",politics
"Election results show major shift in voter preferences nationwide",politics
"New blockbuster film breaks box office records opening weekend",entertainment
"Grammy winning artist releases surprise album with no promotion",entertainment
